0,giggles
0,the tree jumped over the fox
0,I have no friends
0,where is charlie
0,Tired of hackathons
1,Refresh
1,Refresh results
1,Show me new results
1,Refresh the results
1,Reload results
1,Reload articles
1,Reload
1,Update results
1,Update with current results
2,Stories related to Pittsburgh
2,Articles about women's health
2,News about food
2,News regarding zoo animals
2,Stories about general sentiment
3,Delete the filter on Pittsburgh
3,Remove filter on food
3,Delete the filter
3,Undo filter on America
3,Find filter on america and remove it
3,Erase filter of Pittsburgh
